Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
Existing Customer,39,F,2,Unknown,Single,Unknown,Blue,28,6,2,2,1493.0,792,0.688,4131,80,0.702,0.53
Existing Customer,48,F,3,Post-Graduate,Married,Unknown,Blue,36,3,1,3,20631.0,2048,0.676,4827,77,0.711,0.099
Existing Customer,53,F,3,Doctorate,Married,Less than $40K,Blue,33,6,2,1,2255.0,1647,0.848,4270,76,0.767,0.73
Existing Customer,51,M,3,Uneducated,Married,$80K - $120K,Blue,42,5,1,3,1507.0,961,0.678,4126,90,0.667,0.638
Existing Customer,65,F,0,Uneducated,Unknown,Less than $40K,Silver,53,5,1,2,11097.0,0,0.648,4836,83,0.566,0.0
Existing Customer,49,F,4,Graduate,Married,Unknown,Blue,40,5,1,1,8162.0,1704,0.819,4334,80,0.739,0.209
Existing Customer,44,M,4,Unknown,Single,$60K - $80K,Blue,36,3,1,2,18721.0,1568,0.788,4537,81,0.8,0.084
Existing Customer,43,F,2,Uneducated,Single,Less than $40K,Blue,36,5,2,4,1736.0,1513,0.829,3462,67,0.558,0.872
Existing Customer,51,M,3,College,Married,$80K - $120K,Blue,34,5,2,4,1864.0,1427,0.725,3833,73,0.587,0.766
Attrited Customer,49,M,3,Post-Graduate,Married,$80K - $120K,Blue,36,3,3,2,13382.0,1159,0.404,1828,45,0.5,0.087
Existing Customer,39,F,3,Graduate,Single,Less than $40K,Blue,36,4,3,4,2650.0,1646,0.747,4512,80,0.509,0.621
Attrited Customer,37,M,3,Uneducated,Single,$40K - $60K,Blue,36,3,2,4,1696.0,0,0.857,2095,43,0.536,0.0
Existing Customer,40,F,3,Graduate,Single,Less than $40K,Blue,33,3,1,1,2628.0,1771,0.788,4316,72,0.6,0.674
Existing Customer,46,F,3,Unknown,Married,$40K - $60K,Blue,39,6,3,2,1457.0,563,0.711,3967,69,0.568,0.386
Existing Customer,40,F,4,Uneducated,Single,Unknown,Blue,32,3,1,3,3056.0,2038,0.675,4734,73,0.659,0.667
Existing Customer,52,M,2,High School,Single,$80K - $120K,Blue,44,6,2,4,2650.0,1049,0.874,4218,64,0.73,0.396
Existing Customer,58,F,1,College,Married,Less than $40K,Blue,38,4,2,3,3331.0,2251,1.044,5379,92,0.643,0.676
Existing Customer,49,F,1,Uneducated,Unknown,Less than $40K,Blue,38,6,2,1,3343.0,1820,0.727,4507,63,0.703,0.544
Attrited Customer,51,M,2,High School,Married,$60K - $80K,Blue,46,5,3,2,4123.0,1760,0.869,2447,40,0.429,0.427
Attrited Customer,57,F,0,Graduate,Single,Less than $40K,Blue,45,4,3,3,3023.0,2517,0.646,2477,42,0.615,0.833
Existing Customer,56,F,2,High School,Married,Less than $40K,Blue,47,4,3,1,2238.0,1324,0.762,4108,72,0.846,0.592
Attrited Customer,59,F,2,High School,Married,Unknown,Blue,51,3,3,3,3875.0,1397,0.573,2312,49,0.581,0.361
Existing Customer,42,M,2,Post-Graduate,Single,$60K - $80K,Blue,26,6,2,3,20803.0,1747,0.311,4012,60,0.429,0.084
Existing Customer,45,M,3,Doctorate,Single,$80K - $120K,Blue,36,6,2,4,9086.0,1254,0.93,3906,81,0.8,0.138
Existing Customer,62,M,0,Unknown,Single,Less than $40K,Blue,36,3,2,4,3653.0,1769,0.825,4423,67,0.763,0.484
Existing Customer,44,F,3,Uneducated,Unknown,Less than $40K,Blue,36,6,2,4,1713.0,0,0.678,3999,66,1.062,0.0
Existing Customer,43,M,4,Graduate,Single,$80K - $120K,Blue,33,4,1,1,6548.0,1244,0.667,4354,79,0.927,0.19
Existing Customer,49,M,3,High School,Unknown,$40K - $60K,Blue,38,4,1,3,3051.0,1783,0.732,4887,69,0.725,0.584
Attrited Customer,48,F,3,Graduate,Single,Unknown,Blue,36,3,3,1,1630.0,1243,0.4,1884,43,0.303,0.763
Existing Customer,43,M,4,Unknown,Married,$40K - $60K,Blue,37,3,2,3,10800.0,1491,0.543,3966,77,0.638,0.138
Attrited Customer,39,F,1,Graduate,Single,Less than $40K,Blue,26,3,3,1,1876.0,1536,0.712,2579,47,0.469,0.819
Attrited Customer,42,M,5,Unknown,Married,$60K - $80K,Blue,36,2,3,2,4963.0,0,0.637,2335,40,0.429,0.0
Existing Customer,44,M,1,Graduate,Single,$60K - $80K,Blue,37,3,1,4,16739.0,1229,0.497,4014,69,0.568,0.073
Existing Customer,50,M,2,College,Married,$60K - $80K,Blue,37,4,1,2,4743.0,1687,0.957,3739,55,0.618,0.356
Existing Customer,43,M,3,College,Unknown,$60K - $80K,Blue,33,4,3,4,9382.0,1455,0.482,3412,71,0.821,0.155
Existing Customer,45,F,3,Uneducated,Single,Less than $40K,Blue,30,3,2,3,2059.0,1118,0.788,4110,71,1.152,0.543
Existing Customer,58,M,2,Unknown,Divorced,$60K - $80K,Blue,52,6,2,3,20410.0,1196,0.726,3525,78,0.733,0.059
Existing Customer,39,F,2,Graduate,Divorced,Less than $40K,Blue,31,5,3,4,6798.0,918,0.671,3961,69,0.605,0.135
Existing Customer,44,F,2,Unknown,Single,Less than $40K,Blue,32,3,1,4,6472.0,2128,0.58,3592,66,0.833,0.329
Existing Customer,45,M,3,High School,Single,Less than $40K,Blue,29,4,1,2,2766.0,1985,0.796,4480,70,0.75,0.718
Existing Customer,55,F,2,Graduate,Married,Less than $40K,Blue,46,5,3,4,1438.3,0,0.907,4271,79,0.756,0.0
Existing Customer,49,F,2,College,Married,Less than $40K,Blue,35,3,3,4,3283.0,1856,1.103,4498,64,0.829,0.565
Existing Customer,46,F,3,Graduate,Married,Less than $40K,Blue,37,5,1,3,2470.0,1961,0.802,4519,78,0.733,0.794
Existing Customer,43,M,4,Unknown,Married,$120K +,Blue,37,3,1,3,20695.0,1250,0.605,3924,82,0.783,0.06
Existing Customer,42,F,5,Graduate,Married,Less than $40K,Blue,36,5,2,4,4228.0,1709,0.493,4389,79,0.58,0.404
Existing Customer,47,F,3,Unknown,Single,Unknown,Blue,42,3,2,2,5884.0,1382,0.91,4477,82,0.745,0.235
Existing Customer,44,F,3,Unknown,Single,Less than $40K,Blue,33,6,2,3,1724.0,0,0.669,4768,80,0.86,0.0
Attrited Customer,59,F,1,Graduate,Married,Less than $40K,Blue,36,2,3,3,2468.0,0,0.5,2017,37,0.762,0.0
Attrited Customer,49,F,3,Graduate,Divorced,Less than $40K,Blue,36,3,3,3,1438.3,0,0.409,1849,43,0.536,0.0
Existing Customer,47,F,5,Graduate,Married,Less than $40K,Blue,42,5,1,2,3111.0,1541,0.656,4570,68,0.511,0.495
Existing Customer,58,F,1,High School,Married,Less than $40K,Blue,46,4,1,3,2799.0,1532,0.583,4214,83,0.537,0.547
Existing Customer,46,M,3,College,Married,$80K - $120K,Blue,41,4,3,1,18927.0,887,1.065,3101,54,1.0,0.047
Attrited Customer,51,F,3,Graduate,Married,Less than $40K,Blue,46,1,4,3,2016.0,395,0.711,2473,44,0.571,0.196
Attrited Customer,56,M,2,Graduate,Single,$80K - $120K,Blue,36,1,2,2,1438.3,0,0.65,2123,37,0.542,0.0
Existing Customer,50,F,3,High School,Single,Less than $40K,Blue,36,4,3,1,1986.0,1614,0.554,4442,64,0.73,0.813
Existing Customer,47,M,2,Unknown,Single,$80K - $120K,Blue,41,6,1,1,2877.0,1136,0.756,4006,68,0.478,0.395
Existing Customer,53,F,1,College,Single,Less than $40K,Blue,45,3,2,2,2312.0,1997,0.787,5085,78,0.773,0.864
Existing Customer,46,F,3,Graduate,Married,$40K - $60K,Blue,39,3,3,2,2644.0,2126,0.748,3601,66,0.65,0.804
Existing Customer,50,F,1,Graduate,Married,Less than $40K,Blue,35,5,2,2,3510.0,1881,0.66,3808,81,0.884,0.536
Existing Customer,55,M,2,Graduate,Single,$80K - $120K,Blue,36,3,2,1,15026.0,916,0.721,3281,63,0.8,0.061
Existing Customer,45,M,5,High School,Married,$60K - $80K,Blue,36,6,3,2,2174.0,877,0.644,4596,71,0.449,0.403
Existing Customer,50,F,2,High School,Single,Less than $40K,Blue,43,4,2,1,2974.0,2090,0.975,4297,88,0.833,0.703
Attrited Customer,50,F,2,Graduate,Unknown,Less than $40K,Blue,36,5,2,2,1438.3,0,0.658,2329,43,0.593,0.0
Attrited Customer,37,F,3,Unknown,Single,Unknown,Blue,24,2,3,2,2054.0,0,0.87,2567,43,0.593,0.0
Existing Customer,37,F,1,High School,Single,Less than $40K,Blue,23,6,3,4,1879.0,1486,0.836,5202,88,0.692,0.791
Existing Customer,45,M,4,High School,Single,$80K - $120K,Blue,34,3,2,3,15913.0,1696,0.632,4472,86,0.792,0.107
Existing Customer,44,F,2,High School,Single,Less than $40K,Blue,36,5,3,4,8685.0,0,0.666,2473,56,0.6,0.0
Existing Customer,60,F,2,Uneducated,Unknown,$40K - $60K,Blue,52,4,3,2,2676.0,1740,0.735,3863,69,0.725,0.65
Existing Customer,58,F,1,Post-Graduate,Single,Less than $40K,Blue,36,6,2,4,1438.3,0,0.657,4722,89,0.745,0.0
Existing Customer,42,M,2,Graduate,Single,$40K - $60K,Blue,28,3,1,3,1711.0,0,0.983,4496,77,0.925,0.0
Existing Customer,61,M,0,High School,Single,$40K - $60K,Blue,48,3,2,4,2572.0,1969,0.644,4313,84,0.787,0.766
Attrited Customer,39,M,1,Unknown,Single,$40K - $60K,Blue,33,3,3,4,2088.0,975,1.144,2866,59,0.735,0.467
Existing Customer,43,F,3,Unknown,Married,Less than $40K,Silver,32,4,3,2,10466.0,2080,0.648,4116,64,0.684,0.199
Existing Customer,50,F,4,Unknown,Married,Less than $40K,Blue,45,4,1,4,1488.0,755,0.783,4451,65,0.711,0.507
Existing Customer,44,M,2,College,Married,$60K - $80K,Blue,27,3,1,2,19114.0,1754,0.865,4413,69,0.725,0.092
Existing Customer,47,F,1,Graduate,Single,Unknown,Blue,37,6,3,3,2441.0,1672,0.893,4439,74,0.682,0.685
Existing Customer,47,M,3,Graduate,Married,$80K - $120K,Blue,42,6,3,3,13189.0,1205,0.708,3821,83,0.66,0.091
Attrited Customer,49,F,3,Post-Graduate,Married,Less than $40K,Blue,35,3,3,2,1914.0,0,0.677,2687,41,0.414,0.0
Existing Customer,42,F,2,Graduate,Divorced,$40K - $60K,Blue,31,6,2,1,2468.0,1850,0.775,4483,77,0.54,0.75
Existing Customer,57,F,1,Unknown,Single,Less than $40K,Blue,44,4,3,2,2564.0,1258,1.156,2673,43,0.87,0.491
Attrited Customer,43,F,4,Unknown,Married,Less than $40K,Blue,24,6,2,3,1679.0,951,0.706,2492,43,0.593,0.566
Existing Customer,44,F,3,High School,Single,$40K - $60K,Blue,37,4,1,1,3410.0,1110,0.63,5102,63,0.615,0.326
Existing Customer,51,M,3,High School,Single,$60K - $80K,Blue,43,5,3,3,7119.0,1513,0.925,4969,84,0.909,0.213
Existing Customer,57,F,0,High School,Divorced,Less than $40K,Blue,36,5,1,3,3532.0,869,1.038,4297,64,0.778,0.246
Existing Customer,60,F,1,Uneducated,Single,Unknown,Blue,50,6,3,3,7459.0,1717,1.001,4328,68,0.581,0.23
Existing Customer,37,M,3,Graduate,Married,$80K - $120K,Blue,18,5,3,2,1663.0,0,0.778,3950,82,0.864,0.0
Existing Customer,49,F,3,Unknown,Single,$40K - $60K,Blue,42,4,3,4,5129.0,1654,0.618,3192,61,0.848,0.322
Attrited Customer,53,F,4,Graduate,Married,Less than $40K,Blue,37,3,2,3,1722.0,0,0.863,2141,35,0.346,0.0
Existing Customer,46,F,4,Graduate,Married,Unknown,Blue,40,5,3,4,2586.0,1270,0.675,4481,77,0.925,0.491
Existing Customer,50,F,2,High School,Single,Less than $40K,Blue,46,5,3,2,8708.0,996,0.527,3927,60,0.935,0.114
Existing Customer,56,F,3,Unknown,Single,Less than $40K,Blue,50,5,2,2,8869.0,0,0.721,3270,63,0.8,0.0
Existing Customer,45,F,3,Graduate,Married,Less than $40K,Blue,34,6,2,3,2641.0,1336,1.019,4224,77,0.791,0.506
Existing Customer,47,F,3,Unknown,Single,Less than $40K,Blue,36,3,1,4,1965.0,1175,0.657,4579,87,0.74,0.598
Existing Customer,50,F,0,High School,Married,Less than $40K,Blue,36,4,3,2,1513.0,0,0.854,4759,98,0.719,0.0
Attrited Customer,42,M,4,College,Single,$40K - $60K,Blue,36,5,2,3,10543.0,0,0.509,1841,39,0.5,0.0
Existing Customer,49,M,1,Graduate,Single,$80K - $120K,Blue,42,6,2,1,17764.0,1459,0.964,2750,57,0.9,0.082
Existing Customer,50,F,2,Graduate,Single,$40K - $60K,Blue,43,4,1,3,1438.3,0,1.196,4512,77,0.833,0.0
Existing Customer,49,F,2,College,Single,$40K - $60K,Blue,36,3,2,1,6371.0,1946,0.582,3592,79,0.756,0.305
Existing Customer,43,M,4,Graduate,Divorced,$80K - $120K,Blue,36,5,1,1,19188.0,1622,0.75,4282,52,0.926,0.085
Existing Customer,60,M,0,College,Unknown,Less than $40K,Blue,47,6,3,3,3076.0,2257,0.795,4522,75,0.471,0.734
Attrited Customer,42,F,4,College,Married,$40K - $60K,Blue,37,3,3,1,4139.0,0,0.547,2232,41,0.464,0.0
Existing Customer,43,M,3,Graduate,Single,$120K +,Blue,23,5,2,2,4121.0,2084,0.807,3462,49,1.042,0.506
Existing Customer,42,F,2,Doctorate,Unknown,Less than $40K,Silver,36,6,1,2,10074.0,1079,0.813,3338,65,0.711,0.107
Existing Customer,43,M,5,Uneducated,Married,$60K - $80K,Blue,36,6,2,4,2621.0,598,0.967,4852,85,0.771,0.228
Existing Customer,47,M,1,High School,Married,$60K - $80K,Blue,29,3,2,2,3394.0,0,0.454,3115,69,0.816,0.0
Existing Customer,56,M,1,Uneducated,Single,$80K - $120K,Blue,45,3,1,2,17628.0,1414,0.603,3991,76,0.617,0.08
Existing Customer,56,M,2,Doctorate,Single,$80K - $120K,Blue,48,4,3,3,4480.0,2465,0.772,3331,74,0.682,0.55
Existing Customer,43,F,3,High School,Unknown,Less than $40K,Blue,39,5,3,2,3370.0,2284,0.673,4084,70,0.628,0.678
Attrited Customer,38,M,2,Unknown,Single,$60K - $80K,Blue,33,2,3,2,12871.0,0,0.598,2413,53,0.606,0.0
Existing Customer,47,F,1,Graduate,Married,Unknown,Blue,34,3,2,2,3112.0,2023,0.757,4613,86,0.593,0.65
Existing Customer,44,M,3,Graduate,Single,$60K - $80K,Blue,37,5,2,3,1682.0,930,0.903,3309,67,1.03,0.553
Existing Customer,42,F,1,High School,Married,Less than $40K,Blue,36,5,3,3,2758.0,2017,0.883,4119,73,1.028,0.731
Existing Customer,49,F,1,High School,Married,Less than $40K,Blue,39,5,2,2,1909.0,866,0.88,4697,83,0.844,0.454
Existing Customer,48,M,2,High School,Married,$80K - $120K,Blue,44,5,1,2,11332.0,1647,0.542,4674,72,0.714,0.145
Existing Customer,44,M,5,Doctorate,Single,$120K +,Blue,31,5,1,2,7567.0,2496,0.709,4076,60,0.579,0.33
Attrited Customer,42,M,4,Unknown,Married,$60K - $80K,Blue,36,3,2,2,6743.0,1737,0.598,1934,30,0.579,0.258
Attrited Customer,42,F,3,Doctorate,Single,Less than $40K,Blue,30,2,3,3,1438.3,0,0.373,1693,37,0.423,0.0
Existing Customer,43,M,4,Unknown,Married,$80K - $120K,Blue,38,5,1,2,2510.0,1508,0.728,3623,63,0.853,0.601
Existing Customer,50,F,3,Uneducated,Unknown,Less than $40K,Blue,43,6,2,1,3199.0,2517,0.699,4483,87,0.776,0.787
Existing Customer,35,F,1,High School,Married,Less than $40K,Blue,26,4,2,3,1918.0,900,0.873,4237,76,0.9,0.469
Attrited Customer,47,M,2,High School,Married,$60K - $80K,Blue,39,2,3,1,18660.0,728,0.403,1682,43,0.303,0.039
Attrited Customer,41,M,3,Post-Graduate,Unknown,$80K - $120K,Blue,33,3,2,3,7591.0,0,0.648,2302,42,0.5,0.0
Existing Customer,43,M,2,College,Single,$120K +,Blue,37,6,3,1,14315.0,1348,0.681,3694,67,0.718,0.094
Existing Customer,64,F,1,High School,Divorced,Unknown,Blue,36,3,3,1,18038.0,1184,0.827,4168,64,0.6,0.066
Existing Customer,42,F,4,Graduate,Single,Less than $40K,Blue,34,3,2,3,1853.0,0,0.846,4544,72,0.565,0.0
Existing Customer,49,M,5,Doctorate,Single,$40K - $60K,Blue,43,3,1,1,4951.0,2002,0.684,4192,62,0.55,0.404
Attrited Customer,51,F,0,Graduate,Married,Less than $40K,Blue,32,4,2,3,1757.0,331,0.879,2377,47,0.516,0.188
Existing Customer,38,F,2,Unknown,Single,$40K - $60K,Blue,29,5,3,2,3276.0,2331,0.567,4345,68,0.511,0.712
Existing Customer,52,M,1,Unknown,Married,$120K +,Blue,40,4,1,2,3614.0,0,0.671,4561,82,0.907,0.0
Existing Customer,47,M,4,High School,Divorced,$60K - $80K,Blue,36,6,1,3,1943.0,1654,0.648,3392,70,0.591,0.851
Attrited Customer,40,F,2,Post-Graduate,Married,$40K - $60K,Blue,25,2,2,4,3795.0,2517,0.563,1633,32,0.778,0.663
Existing Customer,43,F,3,Graduate,Single,Less than $40K,Blue,30,3,3,1,4075.0,2189,0.695,3956,71,0.732,0.537
Attrited Customer,48,F,1,Graduate,Single,Less than $40K,Blue,41,6,2,4,3001.0,482,0.814,2403,42,0.615,0.161
Existing Customer,47,M,4,Unknown,Unknown,Less than $40K,Blue,37,6,3,3,5726.0,834,0.569,2311,58,0.487,0.146
Existing Customer,54,F,3,Graduate,Single,Less than $40K,Blue,44,3,2,3,2077.0,1634,0.771,4292,66,0.833,0.787
Existing Customer,41,F,2,Graduate,Married,Less than $40K,Blue,30,6,2,4,2157.0,721,0.769,4250,85,0.889,0.334
Existing Customer,40,F,3,College,Unknown,$40K - $60K,Blue,20,6,2,2,2037.0,1349,0.743,4574,84,0.714,0.662
Existing Customer,33,M,2,Doctorate,Single,$120K +,Blue,23,5,1,1,14914.0,1102,0.823,4478,87,0.673,0.074
Existing Customer,47,F,2,High School,Single,Less than $40K,Blue,39,5,3,2,1580.0,620,0.746,4384,70,0.522,0.392
Existing Customer,46,M,3,College,Married,$60K - $80K,Blue,38,5,3,4,15483.0,1719,0.686,4678,80,0.509,0.111
Attrited Customer,44,F,2,Doctorate,Divorced,Less than $40K,Blue,36,1,2,2,1916.0,0,1.041,2888,39,0.444,0.0
Attrited Customer,51,M,3,Graduate,Single,$80K - $120K,Blue,36,6,3,3,3610.0,1554,0.501,2216,34,0.308,0.43
Existing Customer,48,F,3,Graduate,Married,Less than $40K,Blue,36,3,2,2,1667.0,0,0.686,4385,80,0.951,0.0
Existing Customer,51,F,1,High School,Single,Less than $40K,Blue,47,4,3,1,1438.3,0,0.826,4242,70,0.458,0.0
Attrited Customer,48,F,1,Graduate,Married,Less than $40K,Blue,42,3,3,2,1942.0,860,0.708,2522,42,0.312,0.443
Existing Customer,50,F,4,College,Married,Unknown,Blue,36,4,2,2,6465.0,1863,0.399,4490,68,0.789,0.288
Existing Customer,35,M,2,High School,Unknown,$40K - $60K,Blue,19,4,3,3,8599.0,938,0.537,3015,64,0.73,0.109
Existing Customer,35,F,4,Graduate,Single,Less than $40K,Blue,22,6,3,3,1438.3,0,0.512,3427,64,0.829,0.0
Existing Customer,51,F,1,Graduate,Single,Less than $40K,Blue,37,4,3,4,4402.0,697,0.7,3325,76,0.652,0.158
Existing Customer,50,M,0,Unknown,Divorced,$60K - $80K,Blue,36,3,3,2,5444.0,2499,0.468,4509,80,0.667,0.459
Existing Customer,50,F,2,High School,Married,Less than $40K,Blue,36,6,2,1,1438.3,0,0.909,4697,82,0.907,0.0
Attrited Customer,54,F,1,Unknown,Married,Less than $40K,Blue,40,1,1,4,1438.3,0,0.43,1632,36,0.44,0.0
Existing Customer,31,F,0,Post-Graduate,Single,Less than $40K,Blue,19,6,3,1,2766.0,1731,0.569,3959,71,0.732,0.626
Existing Customer,45,F,2,Post-Graduate,Single,Unknown,Blue,37,3,3,4,2707.0,1796,0.597,4077,70,1.059,0.663
Attrited Customer,45,F,4,Graduate,Unknown,Less than $40K,Blue,33,1,3,2,1748.0,1103,0.739,2335,41,0.708,0.631
Existing Customer,45,F,3,High School,Single,$40K - $60K,Blue,26,3,2,4,4034.0,1867,0.656,3718,72,0.756,0.463
Attrited Customer,51,M,2,High School,Married,$80K - $120K,Blue,41,5,2,3,14902.0,0,0.312,2038,39,0.625,0.0
Existing Customer,38,F,2,Uneducated,Single,$40K - $60K,Blue,31,5,2,2,12228.0,2137,0.553,3831,68,0.511,0.175
Existing Customer,55,F,2,Graduate,Single,Less than $40K,Blue,42,4,3,3,1724.0,0,0.936,4434,67,0.811,0.0
Attrited Customer,47,F,3,Graduate,Single,Less than $40K,Blue,39,3,3,3,1438.3,0,0.502,2476,32,0.778,0.0
Existing Customer,54,M,2,Unknown,Single,$120K +,Blue,36,5,1,2,19865.0,0,0.59,4350,83,0.766,0.0
Existing Customer,42,F,5,High School,Divorced,Less than $40K,Blue,36,5,2,3,2069.0,1288,0.81,5668,82,0.64,0.623
Attrited Customer,35,F,1,College,Single,Less than $40K,Blue,25,2,2,4,2231.0,1791,0.82,2576,42,0.75,0.803
Existing Customer,48,F,3,College,Married,Less than $40K,Blue,36,4,1,2,2544.0,0,0.759,3593,64,1.0,0.0
Existing Customer,49,F,2,Graduate,Unknown,$40K - $60K,Blue,36,6,3,1,5370.0,653,0.782,4504,81,0.929,0.122
Attrited Customer,53,F,3,College,Married,Less than $40K,Blue,43,3,2,2,3573.0,0,0.842,2562,36,0.44,0.0
Existing Customer,51,M,2,Graduate,Divorced,$60K - $80K,Blue,41,4,3,1,1959.0,0,0.454,3737,71,0.614,0.0
Existing Customer,59,F,0,Graduate,Married,Less than $40K,Blue,48,3,3,4,1661.0,0,0.672,4338,77,0.925,0.0
Existing Customer,39,F,3,Uneducated,Single,Unknown,Blue,27,6,2,1,5363.0,0,0.67,4121,78,0.625,0.0
Existing Customer,47,M,4,High School,Single,$40K - $60K,Silver,32,3,3,4,18535.0,1192,0.646,3780,70,0.667,0.064
Existing Customer,42,M,3,High School,Single,Less than $40K,Blue,24,4,3,2,2171.0,1415,0.773,4992,77,0.833,0.652
Existing Customer,57,F,0,Unknown,Married,Less than $40K,Blue,42,5,1,4,2376.0,1515,0.72,3795,71,0.614,0.638
Existing Customer,51,F,3,Uneducated,Married,Less than $40K,Blue,43,4,3,2,2882.0,0,0.722,4446,68,0.744,0.0
Existing Customer,50,F,1,Graduate,Single,Less than $40K,Blue,37,4,3,4,3277.0,2481,0.606,3965,59,0.844,0.757
Existing Customer,47,M,2,Unknown,Married,$80K - $120K,Blue,36,6,2,1,2514.0,1845,0.683,3696,71,0.614,0.734
Existing Customer,48,M,3,Post-Graduate,Single,$60K - $80K,Blue,34,4,3,2,12391.0,784,0.875,4376,86,0.72,0.063
Existing Customer,47,F,2,Doctorate,Single,Less than $40K,Blue,37,4,3,2,2168.0,1485,0.546,3828,86,0.72,0.685
Existing Customer,42,F,3,Unknown,Married,Unknown,Blue,31,3,1,4,7762.0,1319,0.793,5153,77,0.75,0.17
Existing Customer,45,F,3,Doctorate,Divorced,Unknown,Blue,33,6,3,2,12587.0,815,0.576,3914,83,0.766,0.065
Existing Customer,52,M,2,Unknown,Married,$60K - $80K,Blue,36,6,3,4,14785.0,1088,0.961,4354,70,0.489,0.074
Existing Customer,37,M,2,High School,Single,$60K - $80K,Blue,21,5,2,2,3433.0,964,0.526,4444,87,0.642,0.281
Attrited Customer,63,M,0,Graduate,Single,$60K - $80K,Blue,51,3,3,3,11619.0,0,0.631,2395,49,0.361,0.0
Existing Customer,62,F,0,High School,Single,Less than $40K,Blue,50,3,3,3,3989.0,0,0.997,4274,68,0.545,0.0
Attrited Customer,47,F,1,Unknown,Single,Less than $40K,Blue,37,4,2,1,2173.0,596,0.81,2738,45,0.406,0.274
Existing Customer,50,F,0,Graduate,Married,Less than $40K,Blue,43,4,1,2,2393.0,1499,0.784,4755,82,0.745,0.626
Attrited Customer,39,F,2,Graduate,Married,Less than $40K,Blue,29,3,2,2,1677.0,0,0.869,2437,41,0.708,0.0
Existing Customer,40,F,3,Uneducated,Single,Less than $40K,Blue,27,5,4,2,2035.0,0,0.779,4107,82,0.783,0.0
Existing Customer,39,M,3,College,Single,$120K +,Blue,30,4,2,1,8842.0,0,0.624,4493,79,0.756,0.0
Existing Customer,42,F,2,Unknown,Unknown,Less than $40K,Blue,23,6,3,1,2483.0,1297,0.744,3478,64,0.939,0.522
Existing Customer,65,M,0,Graduate,Single,$40K - $60K,Blue,49,3,2,3,13921.0,1201,0.556,4351,75,0.923,0.086
Existing Customer,47,F,2,Post-Graduate,Single,$40K - $60K,Blue,40,5,3,2,2623.0,1647,0.735,4388,83,0.804,0.628
Existing Customer,49,F,4,Unknown,Divorced,Less than $40K,Blue,43,5,1,2,3232.0,824,0.796,3915,74,0.644,0.255
Attrited Customer,48,M,3,Graduate,Single,$60K - $80K,Blue,42,3,2,4,19075.0,0,0.807,2013,32,0.455,0.0
Existing Customer,45,F,3,High School,Unknown,Less than $40K,Blue,33,5,1,1,6225.0,1596,0.826,4129,71,0.651,0.256
Attrited Customer,49,F,4,Unknown,Single,Unknown,Blue,31,6,3,3,2672.0,0,1.038,2576,39,0.5,0.0
Attrited Customer,41,F,4,Graduate,Divorced,$40K - $60K,Blue,33,1,3,1,10360.0,2517,0.632,2414,28,0.273,0.243
Existing Customer,46,M,5,Uneducated,Single,$60K - $80K,Blue,33,4,1,3,3135.0,0,0.572,4116,68,0.7,0.0
Existing Customer,42,F,3,Uneducated,Single,Less than $40K,Blue,22,4,1,4,1438.3,860,0.761,4754,79,0.837,0.598
Existing Customer,41,F,4,Uneducated,Unknown,Less than $40K,Blue,32,4,3,1,3189.0,0,0.91,4813,86,0.755,0.0
Attrited Customer,55,M,1,Uneducated,Single,$60K - $80K,Blue,48,5,2,2,1723.0,0,1.038,2574,43,0.72,0.0
Existing Customer,58,F,1,Doctorate,Married,Less than $40K,Blue,48,4,2,2,1438.3,801,0.595,4223,60,0.579,0.557
Existing Customer,42,F,3,Uneducated,Divorced,Less than $40K,Blue,38,5,2,2,3131.0,849,0.992,3108,62,0.59,0.271
Existing Customer,38,F,2,Graduate,Single,$40K - $60K,Blue,36,6,2,3,2331.0,1709,0.851,4417,69,0.816,0.733
Existing Customer,29,F,1,Uneducated,Married,Less than $40K,Blue,18,3,3,3,1895.0,1146,0.685,4333,72,0.714,0.605
Attrited Customer,55,F,2,Graduate,Single,Less than $40K,Blue,49,2,1,2,1583.0,234,0.639,2541,36,0.385,0.148
Existing Customer,57,F,2,High School,Married,Less than $40K,Blue,36,4,2,2,1438.3,904,0.761,3887,79,0.837,0.629
Existing Customer,45,F,4,Graduate,Single,Less than $40K,Blue,36,5,3,2,2072.0,1544,0.903,4210,64,0.939,0.745
Existing Customer,47,F,1,Doctorate,Divorced,Less than $40K,Blue,37,6,3,3,2707.0,1367,0.794,4646,73,0.78,0.505
Existing Customer,43,F,3,High School,Married,Less than $40K,Silver,31,3,3,4,13608.0,1190,0.553,3118,76,0.767,0.087
Existing Customer,52,F,3,Unknown,Single,Unknown,Blue,36,3,1,2,10273.0,1657,0.71,3778,70,0.591,0.161
Existing Customer,52,F,2,Graduate,Married,Less than $40K,Blue,39,4,1,3,8431.0,1862,0.59,2008,37,0.682,0.221
Existing Customer,61,M,0,High School,Divorced,$60K - $80K,Blue,51,6,3,4,5852.0,1935,0.829,3689,55,0.618,0.331
